,en,ja
story.Prologue_Club_Theater.item_chalk_on_chalkboard.text.0f8138ea884aa9649263a2462276077d77d33839,I'd rather people didn't find out I was here.,私がここにいた証拠は残さないほうがいい。
story.Prologue_Club_Theater.item_chalk_on_chalkboard.text.917a80a8b7976769ba308612a7c9127b2fd85f98,Please don't mess up this room…,頼むからこの部屋を荒らさないで……
story.Prologue_Club_Theater.item_curtains_get.text.e927aaa5c5f651011602e386f3b08ba7db19c984,A pile of neatly folded drapes.,きれいにたたまれたカーテンが積まれている。
story.Prologue_Club_Theater.item_curtains_get.choice.text.36870c0bf0576b146e0ca71df1c2b59120376826,Take them?,持っていく？
story.Prologue_Club_Theater.item_curtains_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,持っていく
story.Prologue_Club_Theater.item_curtains_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,持っていかない
story.Prologue_Club_Theater.item_curtains_get.text.f957919718ff23b5025ae2746ec82b5dbe67cd23,This could be useful.,これは使えるかも。
story.Prologue_Club_Theater.item_curtains_get.text.690c2982c67ec91e21b03e3390b30c53b4afed4a,You don't need this anymore.,これ以上は必要ない。
story.Prologue_Club_Theater.item_lighter_on_box.text.ae78d23e418b00ffd21cf4c6c0ae859d10e4e2f8,Those poor boxes probably don't deserve it.,この箱は燃やすには忍びない。
story.Prologue_Club_Theater.item_lighter_on_curtain.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,今日は学校を焼失させるのはやめておきたい。
story.Prologue_Club_Theater.item_lighter_on_curtain.text.583ed21a9497f79dfda0c41f07d5d9f1339fa489,"Wow, thank you for your generosity.",あら、ご厚意感謝するわ。
story.Prologue_Club_Theater.item_lighter_on_rack_clothes.text.cfce5bfc933dd14896bab9502b18275d5058761f,Oh how I wish…,ああ、そうできれば……
story.Prologue_Club_Theater.item_lighter_on_rack_clothes.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,……
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.5127ee45f5d64a6fbfe3f27c37d8beea71cf8b3f,"Alright, let's see…",さて、どれどれ……
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.ac239fd3041f4009bca0d9c848b8e6b227d01dab,There's a ton of useless objects in the boxes and….. a letter.,大量の役に立たないものと……手紙。
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.text.989d19b55177493e3f88ef9d9231013197c6ecd7,Read it?,読む？
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,読む
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,読まない
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.cba0c319a35c611ede5affd4f780250d381eb0bb,They're already open.,箱は既に開いている。
story.Prologue_Club_Theater.item_scissors_on_boxes_top.text.36c23515fb3491dc51fbe435e7c933608abf2b5d,There's no point in brandishing your scissors at them. They're already open.,わざわざハサミを使う必要はない。もう開いている。
story.Prologue_Club_Theater.misc_blankets.text.7d58924587d931c1d9295ff4ccf9a401cd4a4621,Some blankets are sprawled all over the floor.,毛布が数枚床に散らかっている。
story.Prologue_Club_Theater.misc_blankets.text.14221a0010640ed840b311d97766d6caa5bb2f93,They are too heavy to use as curtains.,カーテンに使うには重すぎるわね。
story.Prologue_Club_Theater.misc_boxes_bottom.text.b53b35f7b7b214674e13481499bef51809a131a7,A large pile of cardboard boxes sealed with tape.,テープで封がされた段ボール箱の山。
story.Prologue_Club_Theater.misc_boxes_bottom.text.a050b2217b25ad30c8bf0a1dc5cd99506cd4155f,There's nothing else of interest in them.,他に興味を引くものは入っていない。
story.Prologue_Club_Theater.misc_boxes_bottom.choice.text.84afb35a1ba26162173e1a26c2dd9f79ce85ae52,Read the letter?,手紙を読む？
story.Prologue_Club_Theater.misc_boxes_bottom.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,読む
story.Prologue_Club_Theater.misc_boxes_bottom.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,読まない
story.Prologue_Club_Theater.misc_boxes_top.text.aab805103dcdf1a9f9b35a3cb147cb485a241a2f,Some cardboard boxes full of neatly folded costumes.,きちんとたたまれた衣装が詰まった段ボール箱。
story.Prologue_Club_Theater.misc_chair.text.cf740baa6a7305c086caac5df6871daa24bd6cde,Chairs. No time to rest right now.,椅子。今は座って休んでいる暇はない。
story.Prologue_Club_Theater.misc_chalkboard.text.bcffb737b9bc1ea3d1359f104da6efb0df6a1ff6,A chalkboard. There's a smiley face drawn on it.,黒板。笑顔マークが描いてある。
story.Prologue_Club_Theater.misc_chalkboard.text.98b19fcaf754dcd6a1a29eafc7e87e37dd006ec6,A chalkboard. The letter F is written on it.,黒板。「F」と書いてある。
story.Prologue_Club_Theater.misc_chalkboard.text.efd1e7a56ab689e770f9b0cfbc9185dfe1543804,A chalkboard. I can't tell what's drawn on it.,黒板。何が描いてあるのかはわからない。
story.Prologue_Club_Theater.misc_chalkboard.text.da4f57539e464e7abbbaac53c8f00ac13f0c0236,A chalkboard. There are stars drawn on it.,黒板。星が描いてある。
story.Prologue_Club_Theater.misc_chalkboard.text.cd74b8208a8586773228bef978f3cf72d07ae731,Did you draw this?,あなたが描いたの？
story.Prologue_Club_Theater.misc_chalkboard.text.21b19c9e143790e788896e29f3261d3dc0f89c8d,Do I look like the only member of this club?,演劇部の部員が私だけだと思う？
story.Prologue_Club_Theater.misc_chalkboard.text.6957adfa2f1a0283214dd319309f179fec3aa41d,So… did you draw this?,で……あなたが描いたの？
story.Prologue_Club_Theater.misc_chalkboard.text.4fc4d2f5bdc5ee1e0e461fdd9af31204cb74d9bf,…Maybe I did.,……かもね。
story.Prologue_Club_Theater.misc_chalkboard.text.47f131607710dd1a6a77acf70086d5e28cc3a091,"A chalkboard. The word ""THIEF"" is written on it.",黒板。「THIEF(泥棒)」と書いてある。
story.Prologue_Club_Theater.misc_chalkboard.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,……
story.Prologue_Club_Theater.misc_chalkboard.text.56a9b34dbefaed4524137f5754f81ee30a98aef9,A chalkboard. There's… something drawn on it.,黒板。何と言うか……何かが描いてある。
story.Prologue_Club_Theater.misc_chalkboard.text.46e43c4b711d7e99962a30e1a9a1ad68ea9ccf51,Where did they find red chalk…?,赤のチョークなんてどこにあったんだろ……？
story.Prologue_Club_Theater.misc_curtain_left.text.20afdf017229aa6ca3b6a8440095073b3ba5247e,A soft red curtain.,柔らかい赤のカーテン。
story.Prologue_Club_Theater.misc_curtain_left.choice.text.d13ef70cd78ecb9ba032b8a548aafe1d24ccc308,Draw curtain?,カーテンを引く？
story.Prologue_Club_Theater.misc_curtain_left.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,はい
story.Prologue_Club_Theater.misc_curtain_left.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,いいえ
story.Prologue_Club_Theater.misc_curtain_left.choice.text.10c8a40cff7af3e45db4e42e05dea5b462f6796b,Take them out?,カーテンを外す？
story.Prologue_Club_Theater.misc_curtain_right.text.20afdf017229aa6ca3b6a8440095073b3ba5247e,A soft red curtain.,柔らかい赤のカーテン。
story.Prologue_Club_Theater.misc_curtain_right.choice.text.10c8a40cff7af3e45db4e42e05dea5b462f6796b,Take them out?,カーテンを外す？
story.Prologue_Club_Theater.misc_curtain_right.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,外す
story.Prologue_Club_Theater.misc_curtain_right.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,外さない
story.Prologue_Club_Theater.misc_drawers_1.text.4f2c5673295af6dbdc4a2ccd0b5d0a6f92bce3ba,There's some paint and brushes in the drawer.,引き出しには絵の具と絵筆が入っている。
story.Prologue_Club_Theater.misc_drawers_2.text.59dce0f7c5de1580b9238379b4898b408008e247,There are various makeup kits and accessories in the drawer.,引き出しにはさまざまなメイク用品とアクセサリーが入っている。
story.Prologue_Club_Theater.misc_light_switch.text.03e21049391c155d4c0a62dead0eb29c4107d62e,It's not working.,点かない。
story.Prologue_Club_Theater.misc_light_switch.text.63f85997a2c16bddedb856bf36d64924274dcb81,It's not working anymore.,もう点かない。
story.Prologue_Club_Theater.misc_rack_clothes.text.7be4744f300ce4576c18d20d720add8ace3bb679,Several hand made costumes are hanging from the rack.,手作りの衣装がいくつかハンガーにかかっている。
story.Prologue_Club_Theater.misc_rack_clothes.text.34dc5c46b0dbe7f66d37fcadf0b7edf3eb64e3b9,"Blegh, they have poor taste in clothes.",うぇー、服のセンスはお粗末ね。
story.Prologue_Club_Theater.misc_rack_clothes.text.dcb3b825ca9bde777dbf253e73cd4ded127755ad,"You DO know these are for acting, right…?",これは演劇用よ、わかってるでしょ……？
story.Prologue_Club_Theater.misc_rack_hats.text.438986c1a54778b49c4bcd93d2bf979d034a39c2,A rack with various hats and scarves.,さまざまな帽子やスカーフがかかったラック。
story.Prologue_Club_Theater.misc_table.text.bcb31be9dfe6af0962439b25adead3ff05c7d73b,A table with a blank sheet of poster paper and some colored pencils.,まっさらなポスター用紙と色鉛筆が置かれた机。
story.Prologue_Club_Theater.misc_table.text.b41d4fbd59f3a95b03a98e76208a90cef215c98b,Is this what you do here?,これが普段の活動？
story.Prologue_Club_Theater.misc_table.text.9fb1930b4d344ba2eb5d009cf966acae52b5befc,"If it's a drawing club, maybe I'll join, too.",お絵描きクラブなら、私も入ろうかな。
story.Prologue_Club_Theater.misc_table.text.306cd66020925bf21e6fa707760531b6abd47114,Please don't.,お願いだからやめて。
story.Prologue_Club_Theater.misc_trashcan.text.c44c819af534af24b10b545fe6b94da3f3c6ba49,There's really no incentive to check out the contents of the trash can.,ゴミ箱の中身を確認する理由はない。
