,en,ja
story.Prologue_Garden.item_bad_flower_on_vase4.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.item_flower_on_vase1.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,電球が緑に変わった。
story.Prologue_Garden.item_flower_on_vase1.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.item_flower_on_vase2.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,電球が緑に変わった。
story.Prologue_Garden.item_flower_on_vase2.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.item_flower_on_vase3.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,電球が緑に変わった。
story.Prologue_Garden.item_flower_on_vase3.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.item_flower_on_vase4.text.67bdffd1d02b414ebb288c033ef22820a08f6a9f,The light turned green.,電球が緑に変わった。
story.Prologue_Garden.item_flower_on_vase4.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.misc_door.text.1c6322edf605ee91f5480544e936495693e46535,A door with 4 colored lights.,色付きの電球が4つ付いた扉。
story.Prologue_Garden.misc_door.text.8bbfaac51fdeac34b90b0708bc95d7c6b2fe3ec0,It's locked.,鍵がかかっている。
story.Prologue_Garden.misc_house.text.d5e6979f11fb628a43f7223c7bcc3d71266feef6,A small building adorned with flowers.,花で飾られた小さな建物。
story.Prologue_Garden.misc_tree.text.73f8a16c8b0b804e134a1173dbe3226d0bf73c89,A tree with pink flowers.,ピンク色の花の咲いた木。
story.Prologue_Garden.misc_vase1.text.921038637126ddcaaa7b70f23f9b2a46d246bdbd,A big flower vase with a white flower in it.,白い花が活けてある大きな花瓶。
story.Prologue_Garden.misc_vase1.choice.text.9108c46bbea36ae19d27633b7af9c239d95548f0,Take out the flower?,花を取る？
story.Prologue_Garden.misc_vase1.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,はい
story.Prologue_Garden.misc_vase1.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,いいえ
story.Prologue_Garden.misc_vase1.text.bb97f52d9803f55b797891b5af16500f1704431d,The green light turned red.,緑の電球が赤に変わった。
story.Prologue_Garden.misc_vase1.choice.text.fc49316e86469404ad2c504f82428b4ba0e2a13b,Put the flower back in?,花を戻す？
story.Prologue_Garden.misc_vase1.text.8f41660e5f565d99d3c715e8b01243485616596e,The light turned back green.,電球は緑に戻った。
story.Prologue_Garden.misc_vase1.text.a228d112739eaf48327709a5843717453560eff8,A big flower vase. The flower is missing.,大きな花瓶。花はない。
story.Prologue_Garden.misc_vase2.text.921038637126ddcaaa7b70f23f9b2a46d246bdbd,A big flower vase with a white flower in it.,白い花が活けてある大きな花瓶。
story.Prologue_Garden.misc_vase2.choice.text.9108c46bbea36ae19d27633b7af9c239d95548f0,Take out the flower?,花を取る？
story.Prologue_Garden.misc_vase2.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,はい
story.Prologue_Garden.misc_vase2.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,いいえ
story.Prologue_Garden.misc_vase2.text.bb97f52d9803f55b797891b5af16500f1704431d,The green light turned red.,緑の電球が赤に変わった。
story.Prologue_Garden.misc_vase2.choice.text.fc49316e86469404ad2c504f82428b4ba0e2a13b,Put the flower back in?,花を戻す？
story.Prologue_Garden.misc_vase2.text.8f41660e5f565d99d3c715e8b01243485616596e,The light turned back green.,電球は緑に戻った。
story.Prologue_Garden.misc_vase2.text.a228d112739eaf48327709a5843717453560eff8,A big flower vase. The flower is missing.,大きな花瓶。花はない。
story.Prologue_Garden.misc_vase3.text.921038637126ddcaaa7b70f23f9b2a46d246bdbd,A big flower vase with a white flower in it.,白い花が活けてある大きな花瓶。
story.Prologue_Garden.misc_vase3.choice.text.9108c46bbea36ae19d27633b7af9c239d95548f0,Take out the flower?,花を取る？
story.Prologue_Garden.misc_vase3.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,はい
story.Prologue_Garden.misc_vase3.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,いいえ
story.Prologue_Garden.misc_vase3.text.bb97f52d9803f55b797891b5af16500f1704431d,The green light turned red.,緑の電球が赤に変わった。
story.Prologue_Garden.misc_vase3.choice.text.fc49316e86469404ad2c504f82428b4ba0e2a13b,Put the flower back in?,花を戻す？
story.Prologue_Garden.misc_vase3.text.8f41660e5f565d99d3c715e8b01243485616596e,The light turned back green.,電球は緑に戻った。
story.Prologue_Garden.misc_vase3.text.a228d112739eaf48327709a5843717453560eff8,A big flower vase. The flower is missing.,大きな花瓶。花はない。
story.Prologue_Garden.misc_vase4.text.f94c8f3848ed1ff22bdfedab14a7d38192eb7228,"A big flower vase. Unlike the others, this one has no flower.",大きな花瓶。他のと違って、花は活けられていない。
story.Prologue_Garden.misc_vase4.text.9706bf3f2cedd50ec4914d2014cad5ed26f00278,A big flower vase. I placed a flower inside.,大きな花瓶。さっき花を活けた。
story.Prologue_Garden.misc_vase4.choice.text.f339c1930f8e4d0e665445ac47e5ce88230617d4,Take it out?,花を取る？
story.Prologue_Garden.misc_vase4.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,はい
story.Prologue_Garden.misc_vase4.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,いいえ
story.Prologue_Garden.misc_vase4.text.7f3a9cb2904012a6b65db6a05aeface9e5ec1504,The light turned back red.,電球は赤に戻った。
story.Prologue_Garden.misc_window.text.08d5c065ad044344e463b3aaf2d68037cdb2a316,Some large windows. You can't see what's inside.,大きな窓。中は見えない。
