,en,ja
story.Prologue_Classroom_1.misc_shelf2a.text.bdec03e7317af0a79fa94cc26f0693db67eac16f,"Some very thick, school-related books.",とても分厚い、学校関連の本。
story.Prologue_Classroom_1.misc_shelf2b.text.5976341a7cf838c5d3c59c8187b2f487abe54dc7,Some books and... chalk.,本がいくつかと……チョーク。
story.Prologue_Classroom_1.misc_shelf2b.choice.text.e8d32d47491e2462d1e83b81526638ac486785c4,Take it?,取る？
story.Prologue_Classroom_1.misc_shelf2b.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,取る
story.Prologue_Classroom_1.misc_shelf2b.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,取らない
story.Prologue_Classroom_1.misc_shelf2b.text.9dd1b82a5e4f409f34a6c727d6cf043f271ad8f9,There's nothing else of use.,他に使えそうなものはない。
story.Prologue_Classroom_1.misc_trashcan.text.db154de6c1bfa2ac326a5f45ae897e0179a04d0e,A simple trash can. Its contents look trashy.,シンプルなゴミ箱。中身はいかにもゴミという感じだ。
story.Prologue_Classroom_1.misc_window1.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,カーテンは閉めたままにしておかなければいけない。
story.Prologue_Classroom_1.misc_window2.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,カーテンは閉めたままにしておかなければいけない。
story.Prologue_Classroom_1.misc_window3.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,カーテンは閉めたままにしておかなければいけない。
story.Prologue_Classroom_1.move_enter.choice.text.de94a1b5f3e96666575b288236ae55f16301c4ff,Should I sort the desks in this classroom now?,この教室の机を今揃える？
story.Prologue_Classroom_1.move_enter.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,揃える
story.Prologue_Classroom_1.move_enter.choice.8de95fd5b4121e2d7c337a70f664f13c28c3c275,Not yet,まだやめておく
story.Prologue_Classroom_1.move_enter.text.1d662b8bd43f3310cc6e0175c8854c1e9a1465f1,This should be easy.,これは簡単ね。
